# MODIS Aqua GEOGRAPHIC METADATA TEXT FILE day 2021-01-01
# NFiles = 288, max geo IngestTime = 2021-01-02 16:44:57.368588
# GranuleID,StartDateTime,ArchiveSet,OrbitNumber,DayNightFlag,EastBoundingCoord,NorthBoundingCoord,SouthBoundingCoord,WestBoundingCoord,GRingLongitude1,GRingLongitude2,GRingLongitude3,GRingLongitude4,GRingLatitude1,GRingLatitude2,GRingLatitude3,GRingLatitude4
MYD03.A2021001.0415.061.2021001222738.hdf,2021-01-01 04:15,61,99272,N,174.546143495966,86.5696915268873,61.4189870993814,59.2637937222629,149.227950538457,99.6668794933107,59.1005547220046,177.922300844906,68.3840232220303,61.4163350716068,70.6572703478978,86.1883020795716
MYD03.A2021001.0420.061.2021001223348.hdf,2021-01-01 04:20,61,99272,N,180,89.998043063335,66.2620826389,-180,177.28665799952,59.4842031737264,9.95025953774699,-52.5246644766075,85.5689613930175,70.9675455572305,65.9523628534886,74.9130000657063
MYD03.A2021001.0425.061.2021001222802.hdf,2021-01-01 04:25,61,99272,N,9.46238503893438,75.5501345260082,52.3523875481213,-52.9021074297983,-54.2419755683661,9.46427542220382,-13.8875307957718,-50.4077206927928,75.3696902534744,66.31075298196,52.156323478537,57.1612169409618
MYD03.A2021001.0430.061.2021001222641.hdf,2021-01-01 04:30,61,99272,N,-14.4389597658894,57.629605470241,35.864985017048,-51.7629612344085,-50.9042376260054,-14.4371869592652,-25.1997617771893,-51.7741575291425,57.6335989706614,52.4161821756273,35.7507816235177,39.3337350158404
MYD03.A2021001.0435.061.2021001222616.hdf,2021-01-01 04:35,61,99272,N,-25.6222616551915,39.7219733042675,18.5141423624537,-54.1872546494914,-52.0092867065527,-25.6180782054438,-31.9385001978676,-54.2110163797109,39.7464966011701,35.9358853763386,18.4576797370025,21.505357648291
MYD03.A2021001.0440.061.2021001222641.hdf,2021-01-01 04:40,61,99272,N,-32.2031807474421,21.77752667339,0.788339690700204,-57.4152262234568,-54.3244956028214,-32.1973833689714,-36.6177480518274,-57.4327902103681,21.8080022266392,18.5844162976743,0.771703962605663,3.72979035967265
MYD03.A2021001.0445.061.2021001222643.hdf,2021-01-01 04:45,61,99272,N,-36.7237690635537,3.87307759854536,-17.0892944478074,-61.6789292137946,-57.4908973383409,-36.6541907715547,-40.1062460850636,-61.6859293035662,3.90273804319417,0.852511090151101,-17.1589622025469,-13.9501763082296
MYD03.A2021001.0450.061.2021001222709.hdf,2021-01-01 04:50,61,99272,N,-40.0932331622958,-13.87887592289,-34.9951645009384,-67.6677959921801,-61.665557148015,-39.8289341511943,-42.6203691863705,-67.6749054719901,-13.8611825886531,-17.0389552929506,-35.1972987505509,-31.3606097068621
MYD03.A2021001.0455.061.2021001222701.hdf,2021-01-01 04:55,61,99272,N,-42.589493751687,-31.286202060894,-52.8428063285985,-77.3234880147628,-67.6449988800472,-42.1523380901662,-44.1215896820262,-77.4245988633867,-31.2744442259495,-34.9330201305852,-53.1637544607463,-48.0007834443013
MYD03.A2021001.0500.061.2021001223006.hdf,2021-01-01 05:00,61,99272,B,-42.8501913829549,-47.9643867491857,-70.6758500688171,-96.4091905894311,-77.2716854827286,-43.3991513642429,-42.8248706121349,-96.7208706705316,-47.956556816319,-52.7574409467594,-70.9743108532927,-62.6608749097818
MYD03.A2021001.0505.061.2021001223732.hdf,2021-01-01 05:05,61,99272,D,9.31867680940282,-62.7416887901276,-88.6000346523652,-139.375588307345,-96.2903810907409,-41.8387687386443,17.1854585576287,-139.428474971571,-62.7393258915945,-70.445675498742,-87.18584019946,-70.5809042429549
MYD03.A2021001.0510.061.2021001223902.hdf,2021-01-01 05:10,61,99272,D,180,-64.801167323149,-89.9870558193869,-180,-139.123774536394,10.6417722191476,114.880556330631,174.497946569736,-70.8941367368854,-86.6466598038574,-72.9595576068037,-64.4926890686895
MYD03.A2021001.0515.061.2021001223106.hdf,2021-01-01 05:15,61,99272,D,173.968571255919,-50.6245052824442,-73.6123538545064,114.554322505113,173.97036687209,113.475258640053,116.700499160253,152.687513549464,-64.8549359240103,-73.4293340014347,-55.304231549126,-50.4155884438897
MYD03.A2021001.0520.061.2021001222724.hdf,2021-01-01 05:20,61,99272,D,152.087066607651,-34.139391966984,-55.7783823801769,115.419602877631,152.088566568831,116.376788244123,115.407115340152,141.95165728873,-50.6955170013516,-55.7847743775429,-37.5563650212043,-34.0091208819729
MYD03.A2021001.0525.061.2021001222741.hdf,2021-01-01 05:25,61,99272,D,141.456338026244,-16.8176043686288,-37.9397592776832,113.053020120187,141.46034617534,115.310301405855,113.029451471262,135.38539857227,-34.2116970380377,-37.9612318360608,-19.77582057551,-16.7454887165982
